"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R223,R218,R219,R220,R221,R222,R224,R217";"R_1206_HandSoldering";8;"100R";;;
2;"XERR_CH3_BRIDGE0";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"Conn_01x02";;;
3;"XERR_CH0_BRIDGE0,XERR_CH2_BRIDGE1,XERR_CH0_BRIDGE1,XERR_CH1_BRIDGE0,XERR_CH2_BRIDGE0,XERR_CH1_BRIDGE1,CH340_CKO_0";"Pin_Header_Straight_1x01_Pitch2.54mm";7;"Conn_01x01";;;
4;"R209,R216,R215,R214,R213,R212,R211,R210,R201,R202,R203,R204,R205,R206,R207,R208";"R_1206_HandSoldering";16;"1K";;;
5;"LED_CH2_CTRL0,LED_CH0_CTRL0,LED_CH1_CTRL0,LED_CH3_CTRL0";"TSSOP-28-1EP_4.4x9.7mm_Pitch0.65mm";4;"TLC5940PWPR";;;
6;"LPC1114_0";"LQFP-48_7x7mm_Pitch0.5mm";1;"LPC1114FBD48-302";;;
7;"AUX_I/O_0,LED_CH0,LED_CH1,LED_CH2,LED_CH3";"Multicomp_MC9A12-1634_2x08x2.54mm_Straight";5;"Conn_02x08_Odd_Even";;;
8;"C101,C110,C111,C114";"CP_Radial_D5.0mm_P2.50mm";4;"10uf";;;
9;"C102,C104,C108,C109,C112,C113";"C_1206_HandSoldering";6;"0.1uf";;;
10;"C103,C105";"C_1206_HandSoldering";2;"22pf";;;
11;"C106,C107";"C_1206_HandSoldering";2;"39pf";;;
12;"CH340T_0";"SSOP-20_5.3x7.2mm_Pitch0.65mm";1;"CH340T";;;
13;"LAYER_VOUT0";"Pin_Header_Straight_1x08_Pitch2.54mm";1;"Conn_01x08";;;
14;"LD33V_0";"TO-220-3_Horizontal";1;"LD33V";;;
15;"PWR_JACK0";"BARREL_JACK";1;"Barrel_Jack";;;
16;"PWR_SEL1";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"Conn_01x03";;;
17;"Q201,Q202,Q203,Q204,Q209,Q210,Q211,Q212";"SOT-23";8;"BSS138";;;
18;"Q205,Q206,Q207,Q208,Q213,Q214,Q215,Q216";"SOT-23";8;"IRLML6402TRPBF";;;
19;"R101,R102,R103,R104";"R_1206_HandSoldering";4;"R";;;
20;"SWDEBUG0";"Pin_Header_Straight_2x05_Pitch1.27mm";1;"Conn_02x05_Odd_Even";;;
21;"USB_CONN_0";"USB_B";1;"USB_B";;;
22;"Wireless/SPI_1";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"Conn_02x04_Odd_Even";;;
23;"Y101,Y102";"Crystal_HC49-U_Vertical";2;"12MHZ";;;
24;"RESET0";"SW_Tactile_Straight_KSA0Axx1LFTR";1;"SW_SPST";;;
25;"MODE_SELECT_0";"SW_DIP_x2_W7.62mm_Slide";1;"SW_DIP_x02";;;
